;;;;;;;;;;
ORDEN;NOMBRE REGIÓN;Código Región;NOMBRE PROVINCIA;Código Provincia;NOMBRE COMUNA;Código Comuna;Edad;Hombres;Mujeres;TOTAL
124;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;65 a 69;3.089;3.373;6.462
125;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;70 a 74;2.208;2.343;4.551
126;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;75 a 79;1.236;1.648;2.884
127;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;80 a 84;744;1.155;1.899
128;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;85 a 89;439;803;1.242
129;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;90 a 94;161;377;538
130;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;95 a 99;31;93;124
131;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;100 o más;15;15;30
132;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;Total Comunal;54.206;54.169;108.375
133;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;0 a 4;5.365;5.134;10.499
134;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;5 a 9;5.492;5.145;10.637
135;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;10 a 14;4.862;4.687;9.549
136;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;15 a 19;4.836;4.767;9.603
137;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;20 a 24;5.050;4.857;9.907
138;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;25 a 29;5.005;4.999;10.004
139;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;30 a 34;4.284;4.320;8.604
140;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;35 a 39;3.801;3.994;7.795
141;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;40 a 44;3.369;3.607;6.976
142;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;45 a 49;3.087;3.366;6.453
143;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;50 a 54;3.015;3.004;6.019
144;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;55 a 59;2.253;2.240;4.493
145;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;60 a 64;1.655;1.565;3.220
146;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;65 a 69;1.003;1.000;2.003
147;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;70 a 74;589;685;1.274
148;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;75 a 79;277;376;653
149;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;80 a 84;145;228;373
150;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;85 a 89;76;131;207
151;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;90 a 94;25;45;70
152;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;95 a 99;8;13;21
153;TARAPACÁ;1;IQUIQUE;11;ALTO HOSPICIO;1107;100 o más;9;6;15
154;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;Total Comunal;8.987;6.724;15.711
155;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;0 a 4;617;636;1.253
156;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;5 a 9;641;644;1.285
157;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;10 a 14;526;555;1.081
158;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;15 a 19;848;543;1.391
159;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;20 a 24;764;466;1.230
160;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;25 a 29;800;568;1.368
161;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;30 a 34;819;585;1.404
162;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;35 a 39;749;497;1.246
163;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;40 a 44;705;439;1.144
164;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;45 a 49;544;346;890
165;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;50 a 54;536;314;850
166;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;55 a 59;462;327;789
167;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;60 a 64;366;284;650
168;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;65 a 69;220;161;381
169;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;70 a 74;190;133;323
